"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000020641" 1220 1562 1203 1162 1488 1387 1072 975
"ENSBTAG00000020642" 1114 988 1101 815 1277 919 705 802
"ENSBTAG00000020643" 173 256 358 31 410 274 78 111
"ENSBTAG00000020644" 136 182 164 74 299 120 202 139
"ENSBTAG00000020645" 3012 3643 4674 3357 6551 2928 2506 3841
"ENSBTAG00000020646" 605 713 878 724 963 450 687 801
"ENSBTAG00000020647" 28 147 54 133 18 29 90 42
"ENSBTAG00000020648" 486 547 630 327 640 675 481 440
"ENSBTAG00000020649" 102 128 184 60 191 201 166 127
"ENSBTAG00000020650" 33 10 3 10 0 0 0 0
"ENSBTAG00000020652" 54 28 46 72 29 18 18 20
"ENSBTAG00000020653" 1660 2144 2348 1631 2245 1638 1632 1686
"ENSBTAG00000020654" 4923 5045 5474 5452 5605 3413 3908 4701
"ENSBTAG00000020655" 686 845 889 709 891 697 739 600
"ENSBTAG00000020657" 14652 10716 6700 6880 13363 6588 5119 11357
"ENSBTAG00000020658" 68 55 79 51 111 118 97 53
"ENSBTAG00000020660" 0 0 0 0 0 0 0 0
"ENSBTAG00000020661" 4419 4727 4694 3336 2958 4275 5975 3694
"ENSBTAG00000020662" 877 1255 964 1124 1091 910 889 626
"ENSBTAG00000020663" 925 1111 1046 965 889 915 722 715
"ENSBTAG00000020664" 1267 1553 1776 1254 1879 1393 1394 1237
"ENSBTAG00000020665" 58 86 95 40 207 92 112 132
"ENSBTAG00000020667" 10 2 14 35 28 19 32 23
"ENSBTAG00000020668" 6 7 3 1 3 1 3 4
"ENSBTAG00000020669" 120 96 303 17 187 152 168 113
"ENSBTAG00000020671" 31 40 27 22 75 34 25 84
"ENSBTAG00000020672" 0 0 1 0 0 1 0 0
"ENSBTAG00000020673" 0 0 0 0 1 0 0 0
"ENSBTAG00000020674" 47 75 161 42 89 138 102 104
"ENSBTAG00000020676" 3 1 4 2 0 1 1 19
"ENSBTAG00000020679" 322 236 509 94 266 205 344 274
"ENSBTAG00000020681" 6381 5602 7727 3903 9486 4057 5157 6810
"ENSBTAG00000020684" 0 0 3 0 0 0 0 0
"ENSBTAG00000020685" 0 2 5 5 7 5 2 6
"ENSBTAG00000020688" 85 70 147 43 277 112 92 110
"ENSBTAG00000020689" 145 162 176 94 234 158 109 100
"ENSBTAG00000020693" 599 674 603 590 1036 533 554 608
"ENSBTAG00000020696" 230 214 310 136 513 260 183 305
"ENSBTAG00000020698" 1199 1267 1123 809 757 768 826 973
"ENSBTAG00000020699" 175 173 314 125 303 232 196 325
"ENSBTAG00000020700" 246 240 250 235 314 176 232 238
"ENSBTAG00000020701" 541 760 831 542 955 508 567 798
"ENSBTAG00000020704" 463 528 514 261 719 347 213 475
"ENSBTAG00000020705" 22 38 32 25 50 21 11 19
"ENSBTAG00000020707" 358 529 253 480 218 172 356 278
"ENSBTAG00000020709" 119 171 164 81 234 148 113 138
"ENSBTAG00000020710" 175 203 258 287 370 264 106 170
"ENSBTAG00000020713" 12 17 17 5 26 17 22 27
"ENSBTAG00000020714" 359 368 492 303 570 385 346 416
"ENSBTAG00000020715" 5 2 7 0 3 1 1 5
"ENSBTAG00000020717" 356 555 544 261 884 426 480 552
"ENSBTAG00000020720" 346 609 425 379 586 388 398 240
"ENSBTAG00000020721" 461 683 552 445 697 438 398 446
"ENSBTAG00000020723" 0 0 2 0 2 0 0 0
"ENSBTAG00000020725" 0 0 0 0 1 0 0 0
"ENSBTAG00000020726" 390 553 613 346 658 406 432 422
"ENSBTAG00000020729" 516 629 454 401 302 272 313 378
"ENSBTAG00000020731" 316 341 446 380 423 222 298 248
"ENSBTAG00000020733" 20020 35642 42552 35001 29483 27623 22124 28550
"ENSBTAG00000020734" 1624 1937 1613 1267 1315 1251 1477 1235
"ENSBTAG00000020735" 5896 5102 6410 4343 7942 4313 5194 6560
"ENSBTAG00000020736" 49 83 89 41 111 96 60 64
"ENSBTAG00000020737" 8 7 20 6 29 7 14 12
"ENSBTAG00000020739" 1349 1510 1735 1408 1316 1208 988 1007
"ENSBTAG00000020742" 0 5 9 5 4 3 0 5
"ENSBTAG00000020745" 66 45 93 40 242 77 41 135
"ENSBTAG00000020746" 0 0 0 0 0 0 0 0
"ENSBTAG00000020747" 134 117 107 72 241 147 105 111
"ENSBTAG00000020748" 739 706 1060 721 960 531 635 774
"ENSBTAG00000020749" 341 437 568 423 517 353 460 448
"ENSBTAG00000020750" 1038 923 1790 591 2182 1046 989 1739
"ENSBTAG00000020751" 244 320 390 239 634 277 251 297
"ENSBTAG00000020752" 271 297 366 266 519 293 240 264
"ENSBTAG00000020754" 117 155 146 102 199 94 82 80
"ENSBTAG00000020755" 467 319 509 164 1510 669 770 622
"ENSBTAG00000020756" 375 365 361 260 726 230 211 294
"ENSBTAG00000020757" 4127 3676 3175 2335 6803 3258 3210 4106
"ENSBTAG00000020758" 509 566 968 396 976 681 713 680
"ENSBTAG00000020759" 217 315 289 149 458 240 191 231
"ENSBTAG00000020760" 160 148 174 115 280 101 92 143
"ENSBTAG00000020761" 3801 3238 3949 2340 2719 2034 3165 2962
"ENSBTAG00000020762" 67 82 194 60 189 60 142 114
"ENSBTAG00000020764" 1076 1161 1143 978 1731 1012 866 989
"ENSBTAG00000020765" 0 0 4 0 0 0 0 3
"ENSBTAG00000020766" 200 144 155 167 208 117 117 136
"ENSBTAG00000020767" 9 6 9 2 7 13 9 5
"ENSBTAG00000020769" 140 24 23 30 181 16 76 19
"ENSBTAG00000020772" 131 215 251 89 194 215 158 138
"ENSBTAG00000020773" 105 234 280 110 126 251 153 131
"ENSBTAG00000020774" 0 0 1 0 0 0 0 0
"ENSBTAG00000020775" 446 643 433 372 639 483 401 322
"ENSBTAG00000020776" 1730 2726 1500 1803 2035 1328 788 1233
"ENSBTAG00000020777" 521 815 573 579 912 574 421 537
"ENSBTAG00000020780" 389 400 587 291 739 475 379 389
"ENSBTAG00000020781" 1015 964 1014 896 860 673 704 692
"ENSBTAG00000020782" 23530 13251 17611 9148 17913 8169 11588 14774
"ENSBTAG00000020783" 1651 1750 2066 2103 2627 1292 1571 1560
"ENSBTAG00000020784" 0 0 1 0 1 0 0 0
"ENSBTAG00000020787" 2257 2122 2272 1566 3092 1673 2019 2011
"ENSBTAG00000020788" 1 0 1 2 1 1 0 2
"ENSBTAG00000020789" 5 5 6 5 19 8 8 3
"ENSBTAG00000020790" 0 0 1 1 0 0 1 1
"ENSBTAG00000020791" 651 783 777 483 1368 495 609 820
"ENSBTAG00000020792" 0 0 0 0 5 0 0 0
"ENSBTAG00000020793" 43 24 18 7 44 30 23 23
"ENSBTAG00000020794" 0 0 0 0 0 0 0 0
"ENSBTAG00000020795" 11921 25323 21423 16727 15517 21375 11917 12800
"ENSBTAG00000020796" 306 356 350 343 313 341 359 358
"ENSBTAG00000020797" 106 86 140 83 153 84 76 123
"ENSBTAG00000020798" 0 2 1 0 0 0 0 0
"ENSBTAG00000020799" 1170 1261 1365 1180 1555 1096 1305 1120
"ENSBTAG00000020800" 261 183 202 130 519 173 195 240
"ENSBTAG00000020801" 554 797 731 585 875 575 494 661
"ENSBTAG00000020802" 895 805 968 817 899 697 651 1034
"ENSBTAG00000020803" 44 64 45 71 41 34 46 50
"ENSBTAG00000020806" 691 866 887 789 997 745 669 772
"ENSBTAG00000020807" 1174 2259 1816 1090 974 1437 1298 878
"ENSBTAG00000020809" 27 38 35 82 15 24 4 5
"ENSBTAG00000020810" 483 517 636 432 729 420 310 444
"ENSBTAG00000020813" 1 6 12 7 3 2 0 0
"ENSBTAG00000020814" 11 17 23 8 28 7 7 24
"ENSBTAG00000020815" 801 813 1130 913 1114 884 1086 1031
"ENSBTAG00000020817" 5 8 2 11 11 4 4 7
"ENSBTAG00000020819" 2037 2089 2423 2066 2971 1510 1582 2318
"ENSBTAG00000020824" 392 602 351 528 172 327 333 224
"ENSBTAG00000020825" 126 164 211 138 230 181 193 162
"ENSBTAG00000020826" 74 48 56 35 46 87 65 42
"ENSBTAG00000020828" 9 13 15 8 9 4 7 6
"ENSBTAG00000020829" 1868 1254 2118 781 4031 1853 2125 2287
"ENSBTAG00000020831" 901 802 954 743 864 623 916 706
"ENSBTAG00000020835" 213 231 199 144 324 197 197 215
"ENSBTAG00000020836" 83 149 120 155 139 141 39 228
"ENSBTAG00000020837" 278 295 366 213 434 436 176 179
"ENSBTAG00000020838" 0 0 0 0 0 0 0 0
"ENSBTAG00000020839" 8 17 21 8 8 17 10 14
"ENSBTAG00000020843" 9 1 4 7 2 3 1 2
"ENSBTAG00000020844" 520 429 597 483 1199 457 512 670
"ENSBTAG00000020848" 147 195 312 70 503 260 228 244
"ENSBTAG00000020849" 0 4 0 0 0 0 1 0
"ENSBTAG00000020850" 372 555 667 417 647 408 304 409
"ENSBTAG00000020852" 3613 4511 5273 2112 2303 1991 3214 1849
"ENSBTAG00000020853" 475 564 886 278 249 226 766 256
"ENSBTAG00000020854" 172 241 294 53 300 175 171 238
"ENSBTAG00000020855" 847 699 607 657 810 445 457 572
"ENSBTAG00000020856" 139 104 458 61 65 96 330 118
"ENSBTAG00000020858" 81 149 80 117 237 119 77 113
"ENSBTAG00000020859" 2 4 2 3 3 2 0 1
"ENSBTAG00000020860" 4567 4088 5373 3938 7638 4038 4184 5222
"ENSBTAG00000020861" 588 539 670 506 1545 508 379 680
"ENSBTAG00000020865" 1396 1254 1113 1006 1418 705 788 915
"ENSBTAG00000020869" 10 13 13 35 7 11 7 16
"ENSBTAG00000020872" 83 87 145 44 260 108 82 163
"ENSBTAG00000020873" 7581 7479 5862 5573 7111 4095 4077 5851
"ENSBTAG00000020878" 1704 1772 2242 1552 1897 1255 1729 1652
"ENSBTAG00000020880" 899 570 622 409 500 425 641 633
"ENSBTAG00000020883" 0 2 2 0 0 0 1 9
"ENSBTAG00000020884" 521 508 774 367 693 811 837 613
"ENSBTAG00000020886" 904 1051 1554 865 1670 1022 866 1133
"ENSBTAG00000020887" 6 12 18 11 8 20 5 21
"ENSBTAG00000020889" 0 1 0 0 0 0 0 5
"ENSBTAG00000020890" 28 19 11 12 25 17 6 24
"ENSBTAG00000020892" 32 48 125 13 120 57 31 78
"ENSBTAG00000020893" 10 6 17 4 27 43 9 7
"ENSBTAG00000020894" 11383 14867 13980 10957 14952 11494 11880 10694
"ENSBTAG00000020895" 64 49 67 38 125 67 24 90
"ENSBTAG00000020896" 4 1 1 7 0 1 0 0
"ENSBTAG00000020898" 107 135 123 108 144 135 86 110
"ENSBTAG00000020900" 150 180 135 188 161 197 124 109
"ENSBTAG00000020904" 2135 1563 4224 180 2102 948 2288 1092
"ENSBTAG00000020905" 11166 18211 14565 16212 13155 12773 11333 9734
"ENSBTAG00000020907" 59 67 113 103 125 102 50 67
"ENSBTAG00000020908" 5656 7648 6165 7668 7704 5384 5863 5605
"ENSBTAG00000020911" 2037 2319 2752 1655 2289 1525 2280 2165
"ENSBTAG00000020914" 470 523 614 332 1102 808 424 571
"ENSBTAG00000020916" 0 0 1 0 0 0 0 0
"ENSBTAG00000020918" 0 0 0 3 0 0 0 1
"ENSBTAG00000020919" 0 0 1 0 0 0 1 1
"ENSBTAG00000020921" 250 237 387 215 335 195 234 249
"ENSBTAG00000020922" 1255 1145 930 722 1268 887 875 940
"ENSBTAG00000020923" 3 12 9 6 19 8 13 7
"ENSBTAG00000020924" 31 48 42 49 31 53 32 36
"ENSBTAG00000020927" 450 553 639 413 455 386 488 310
"ENSBTAG00000020928" 0 4 2 0 0 1 2 0
"ENSBTAG00000020929" 82 125 87 120 257 88 63 133
"ENSBTAG00000020930" 164 187 164 174 185 162 143 154
"ENSBTAG00000020931" 239 235 343 360 747 339 195 307
"ENSBTAG00000020933" 1701 1628 2065 1493 2068 1268 1840 1778
"ENSBTAG00000020934" 104 131 99 91 113 66 100 68
"ENSBTAG00000020935" 8830 7653 9839 9882 13738 6827 4581 8343
"ENSBTAG00000020936" 180 120 123 227 156 118 117 103
"ENSBTAG00000020937" 622 725 599 687 636 491 475 463
"ENSBTAG00000020938" 1501 1657 1804 1706 2294 1413 1250 1556
"ENSBTAG00000020939" 448 562 589 317 627 555 471 560
"ENSBTAG00000020940" 1207 1448 1344 974 2114 1288 1284 1214
"ENSBTAG00000020942" 126 175 201 136 341 177 143 169
"ENSBTAG00000020943" 174 290 192 162 194 228 176 160
"ENSBTAG00000020944" 1362 1274 1081 668 2617 1131 708 1110
"ENSBTAG00000020947" 833 688 751 497 1174 490 603 820
"ENSBTAG00000020952" 0 0 0 0 0 0 1 0
"ENSBTAG00000020953" 109 96 179 87 281 51 48 138
"ENSBTAG00000020954" 27 34 71 35 29 39 51 38
"ENSBTAG00000020956" 598 567 441 141 1328 582 250 446
"ENSBTAG00000020957" 310 440 522 237 470 216 187 325
"ENSBTAG00000020958" 1043 730 856 1005 1536 660 588 1022
"ENSBTAG00000020959" 5112 6366 6284 6085 9500 4858 4286 5159
"ENSBTAG00000020961" 1290 1430 1342 1722 1126 1153 919 991
"ENSBTAG00000020962" 31 48 46 56 46 43 30 43
"ENSBTAG00000020963" 115 199 164 120 205 172 143 100
"ENSBTAG00000020964" 681 810 769 619 888 657 595 606
"ENSBTAG00000020965" 87 145 133 160 217 150 56 168
"ENSBTAG00000020966" 17 57 68 17 34 34 52 72
"ENSBTAG00000020968" 1069 1516 1600 1365 1032 1184 941 1032
"ENSBTAG00000020969" 1648 1660 2182 1531 1818 1266 1615 1595
"ENSBTAG00000020973" 199 175 278 177 280 192 187 237
"ENSBTAG00000020975" 131 162 226 113 295 153 226 177
"ENSBTAG00000020979" 32 43 45 22 91 18 123 69
"ENSBTAG00000020980" 5537 3903 3382 4519 3862 2985 2678 3262
"ENSBTAG00000020981" 754 665 602 623 818 518 486 583
"ENSBTAG00000020983" 122 143 131 119 147 78 105 79
"ENSBTAG00000020984" 240 228 265 167 218 144 208 222
"ENSBTAG00000020985" 0 4 3 6 0 0 0 0
"ENSBTAG00000020987" 1 5 3 2 22 4 1 10
"ENSBTAG00000020988" 317 432 496 437 695 365 322 524
"ENSBTAG00000020989" 83 37 36 52 140 57 13 66
"ENSBTAG00000020990" 764 1026 1859 301 4155 1991 797 2045
"ENSBTAG00000020991" 7 6 11 0 2 1 2 0
"ENSBTAG00000020992" 50 9 34 10 27 21 45 30
"ENSBTAG00000020994" 493 556 687 479 587 381 510 542
"ENSBTAG00000020995" 0 0 0 0 0 0 0 0
"ENSBTAG00000020996" 1441 1704 1679 1256 2189 1384 1460 1256
"ENSBTAG00000020997" 0 1 0 0 0 1 1 1
"ENSBTAG00000020998" 788 1225 843 1001 1637 955 650 836
"ENSBTAG00000020999" 123 148 162 118 179 158 155 173
"ENSBTAG00000021000" 1285 679 1231 736 2800 604 590 1575
"ENSBTAG00000021002" 528 493 610 250 517 335 529 366
"ENSBTAG00000021003" 33 42 112 0 58 29 76 51
"ENSBTAG00000021007" 549 748 429 802 531 1060 122 249
"ENSBTAG00000021008" 131 195 147 170 170 82 77 123
"ENSBTAG00000021009" 0 4 0 1 17 0 1 5
"ENSBTAG00000021011" 211 208 249 195 216 137 137 196
"ENSBTAG00000021013" 28 28 58 23 251 142 21 39
"ENSBTAG00000021015" 11 19 39 8 13 10 22 11
"ENSBTAG00000021016" 991 1177 1400 1168 1555 1110 904 1089
"ENSBTAG00000021018" 806 937 740 506 1569 617 607 729
"ENSBTAG00000021019" 771 715 1352 439 2463 1152 895 918
"ENSBTAG00000021020" 5887 5248 6862 4855 7046 4309 5068 6347
"ENSBTAG00000021021" 229 182 233 77 481 108 224 193
"ENSBTAG00000021023" 2373 2146 2562 2035 3444 1677 2141 2465
"ENSBTAG00000021024" 27020 25931 23260 22167 34131 18737 19379 28799
"ENSBTAG00000021025" 214 267 460 318 698 229 379 481
"ENSBTAG00000021026" 165 250 346 172 256 289 292 211
"ENSBTAG00000021029" 160 305 165 184 578 357 120 211
"ENSBTAG00000021033" 171 113 71 235 132 109 19 65
"ENSBTAG00000021035" 3408 4810 6041 3232 7849 5400 4064 7221
"ENSBTAG00000021036" 539 676 761 660 1003 427 432 609
"ENSBTAG00000021037" 1446 1806 1964 1381 2286 1316 1524 1469
"ENSBTAG00000021039" 4141 4966 4217 4575 5899 3739 3326 3249
"ENSBTAG00000021041" 3 10 13 7 10 17 4 8
"ENSBTAG00000021045" 57 73 51 37 207 61 68 75
"ENSBTAG00000021046" 0 5 5 0 1 1 2 2
"ENSBTAG00000021048" 171 217 339 223 466 298 404 440
"ENSBTAG00000021050" 3 30 2 0 25 0 0 0
"ENSBTAG00000021051" 162 377 405 257 363 269 290 326
"ENSBTAG00000021052" 18 75 73 60 50 75 60 44
"ENSBTAG00000021057" 4 9 26 26 10 13 10 5
"ENSBTAG00000021058" 1662 1882 1872 1489 2336 1388 1483 1404
"ENSBTAG00000021059" 975 879 1312 155 1962 1092 1162 1882
"ENSBTAG00000021060" 435 494 448 368 658 446 297 384
"ENSBTAG00000021061" 768 1274 523 822 2084 581 445 650
"ENSBTAG00000021062" 1373 1492 1768 1046 2158 1295 1304 1415
"ENSBTAG00000021064" 470 381 434 325 478 195 278 369
"ENSBTAG00000021065" 248 311 248 193 267 266 191 194
"ENSBTAG00000021066" 18 7 24 11 4 9 19 36
"ENSBTAG00000021067" 1580 1604 1204 1234 2787 1383 1027 1352
"ENSBTAG00000021068" 160 159 197 70 269 156 192 163
"ENSBTAG00000021069" 52 76 86 178 275 184 55 150
"ENSBTAG00000021071" 182 223 302 182 496 258 256 228
"ENSBTAG00000021072" 862 578 1063 455 762 599 713 685
"ENSBTAG00000021073" 3179 1899 3315 1140 4604 1509 2331 2347
"ENSBTAG00000021076" 2900 2461 2734 2143 4520 1848 2097 2937
"ENSBTAG00000021077" 93 113 198 119 0 0 14 1
"ENSBTAG00000021078" 805 661 794 695 634 552 744 581
"ENSBTAG00000021079" 377 393 350 328 381 276 156 251
"ENSBTAG00000021082" 376 624 353 376 490 368 164 253
"ENSBTAG00000021083" 1070 983 1135 919 1252 993 857 941
"ENSBTAG00000021087" 2862 2601 3286 2471 3784 2494 2824 2783
"ENSBTAG00000021090" 2388 2030 1845 1335 2427 985 1459 1509
"ENSBTAG00000021091" 1420 1460 1348 1035 2486 1266 1269 1564
"ENSBTAG00000021092" 12 37 12 1 23 4 12 41
"ENSBTAG00000021093" 5870 10069 5712 6773 7686 5751 3791 4252
"ENSBTAG00000021096" 87 117 128 90 103 101 105 95
"ENSBTAG00000021097" 7 16 27 9 14 11 23 10
"ENSBTAG00000021098" 0 0 0 0 0 0 0 0
"ENSBTAG00000021099" 0 0 0 0 0 0 0 2
"ENSBTAG00000021100" 39 38 53 21 53 48 57 28
"ENSBTAG00000021101" 0 0 1 0 0 0 0 0
"ENSBTAG00000021102" 784 810 695 743 697 606 529 561
"ENSBTAG00000021103" 1434 1747 1475 1358 1343 1172 1526 1024
"ENSBTAG00000021104" 4 14 0 1 6 1 1 1
"ENSBTAG00000021105" 1151 1121 1588 1003 1375 1261 1446 1206
"ENSBTAG00000021106" 0 0 1 0 0 0 0 0
"ENSBTAG00000021107" 976 990 1074 610 1361 864 902 924
"ENSBTAG00000021109" 0 2 0 1 0 0 0 2
"ENSBTAG00000021111" 0 0 0 0 1 1 2 2
"ENSBTAG00000021113" 0 0 8 2 7 2 1 1
"ENSBTAG00000021115" 227 245 334 210 234 195 265 171
"ENSBTAG00000021116" 1008 1095 1483 829 1235 850 1130 880
"ENSBTAG00000021118" 0 0 12 1 2 17 44 0
"ENSBTAG00000021119" 37606 39892 53072 35859 13600 5888 32122 16259
"ENSBTAG00000021120" 6 1 5 0 0 0 4 4
"ENSBTAG00000021121" 398 437 536 290 513 413 365 369
"ENSBTAG00000021122" 0 0 0 0 0 0 0 0
"ENSBTAG00000021125" 1383 1369 1239 770 1782 1016 1119 1213
"ENSBTAG00000021126" 0 0 1 0 0 0 0 0
"ENSBTAG00000021127" 87 102 107 71 143 79 82 125
"ENSBTAG00000021128" 3260 3674 3986 3165 4590 2709 3165 3328
"ENSBTAG00000021130" 134 184 110 89 206 109 169 98
"ENSBTAG00000021131" 10953 14807 11892 12949 13769 12559 12009 9680
"ENSBTAG00000021132" 2 10 5 6 2 0 0 0
"ENSBTAG00000021133" 3478 2627 3528 2092 4132 2626 3084 4080
"ENSBTAG00000021134" 252 299 293 231 536 258 206 283
"ENSBTAG00000021135" 720 654 544 680 967 528 505 616
"ENSBTAG00000021139" 48 6 75 0 12 17 31 41
"ENSBTAG00000021140" 1663 1588 1677 1263 1496 1101 1508 1229
"ENSBTAG00000021141" 105 135 132 42 152 66 95 78
"ENSBTAG00000021143" 860 915 1094 677 1146 727 753 797
"ENSBTAG00000021144" 26 42 77 41 60 82 45 49
"ENSBTAG00000021145" 51 48 86 10 110 82 42 62
"ENSBTAG00000021147" 0 1 2 2 1 1 0 0
"ENSBTAG00000021150" 0 0 0 0 0 0 0 0
"ENSBTAG00000021151" 4667 4755 4611 3533 8437 3928 4420 5659
"ENSBTAG00000021156" 1514 1522 2019 1504 1798 1354 1665 1824
"ENSBTAG00000021157" 656 920 877 582 1298 802 710 635
"ENSBTAG00000021158" 268 322 221 384 347 127 213 270
"ENSBTAG00000021160" 1124 1078 882 1002 1439 924 421 778
"ENSBTAG00000021161" 30 23 33 6 92 63 18 37
"ENSBTAG00000021162" 226 323 436 625 1812 742 355 758
"ENSBTAG00000021164" 7010 7029 4490 10206 4668 2240 2534 3691
"ENSBTAG00000021165" 116 120 172 93 157 131 117 153
"ENSBTAG00000021166" 0 0 0 0 0 0 0 0
"ENSBTAG00000021168" 132 122 133 107 79 110 75 87
"ENSBTAG00000021170" 2914 3000 3643 3818 3754 2476 2791 2820
"ENSBTAG00000021172" 2245 2414 3103 2080 3292 1916 1606 2122
"ENSBTAG00000021173" 57 64 55 40 74 34 55 38
"ENSBTAG00000021174" 1798 1534 1797 1165 2693 1459 1331 1837
"ENSBTAG00000021175" 0 1 1 2 0 0 0 0
"ENSBTAG00000021176" 8288 7349 6988 6070 13375 6219 5421 8777
"ENSBTAG00000021177" 83 85 74 70 204 126 40 67
"ENSBTAG00000021180" 8 11 4 3 51 17 1 44
"ENSBTAG00000021181" 134 173 240 462 1114 500 139 424
"ENSBTAG00000021182" 447 375 538 267 628 393 458 531
"ENSBTAG00000021183" 175 154 343 108 334 225 201 156
"ENSBTAG00000021185" 0 0 0 0 2 0 0 0
"ENSBTAG00000021187" 1585 1277 2388 991 2093 1427 1228 1627
"ENSBTAG00000021188" 357 524 423 413 631 489 283 371
"ENSBTAG00000021189" 0 3 1 0 0 0 0 1
"ENSBTAG00000021190" 372 290 493 130 808 255 417 513
"ENSBTAG00000021191" 1697 1634 2184 1226 5480 1446 1348 2447
"ENSBTAG00000021192" 1121 2108 1491 1892 1641 1427 1271 1229
"ENSBTAG00000021193" 58 57 94 79 280 152 50 131
"ENSBTAG00000021195" 0 0 1 0 0 0 1 0
"ENSBTAG00000021196" 283 333 324 346 343 325 357 396
"ENSBTAG00000021199" 831 1418 985 1641 1336 842 604 1244
"ENSBTAG00000021200" 0 0 4 1 0 0 0 0
"ENSBTAG00000021201" 484 546 603 536 561 441 503 477
"ENSBTAG00000021202" 92 79 77 67 240 182 77 82
"ENSBTAG00000021204" 6315 8370 3581 11966 4449 2629 1878 2453
"ENSBTAG00000021205" 95 162 157 138 126 106 140 105
"ENSBTAG00000021208" 179 184 193 248 170 161 145 142
"ENSBTAG00000021209" 12448 10765 11239 9709 12201 7771 10390 10837
"ENSBTAG00000021210" 186 286 204 268 194 171 185 133
"ENSBTAG00000021211" 442 711 598 1263 391 842 1222 554
"ENSBTAG00000021214" 2380 2519 2499 2294 2716 2069 2556 2131
"ENSBTAG00000021215" 685 919 694 433 868 609 774 457
"ENSBTAG00000021216" 1476 1462 2650 516 2141 1358 2310 1013
"ENSBTAG00000021217" 352 589 666 295 196 148 651 1006
"ENSBTAG00000021218" 0 2 1 0 0 1 0 1
"ENSBTAG00000021219" 55 71 124 21 151 91 60 70
"ENSBTAG00000021220" 0 0 2 2 1 1 0 0
"ENSBTAG00000021222" 209 410 419 255 456 297 232 336
"ENSBTAG00000021223" 293 281 285 166 377 270 233 222
"ENSBTAG00000021224" 357 357 454 248 710 363 375 478
"ENSBTAG00000021225" 1124 1125 1366 1030 1657 977 941 925
"ENSBTAG00000021226" 754 749 862 676 1247 676 657 748
"ENSBTAG00000021227" 4179 6368 5482 5308 3747 5021 5016 3482
"ENSBTAG00000021230" 0 3 2 0 0 0 0 0
"ENSBTAG00000021231" 330 404 399 391 531 309 269 362
"ENSBTAG00000021232" 1579 2008 1932 1581 2265 1546 1567 1518
"ENSBTAG00000021233" 0 0 0 0 0 0 0 0
"ENSBTAG00000021235" 0 0 0 1 0 0 0 1
"ENSBTAG00000021237" 17044 17161 22792 12926 34184 15916 21809 24228
"ENSBTAG00000021240" 3 0 2 3 12 4 3 3
"ENSBTAG00000021242" 288 342 254 255 171 172 209 227
"ENSBTAG00000021245" 938 898 1183 594 1642 852 873 951
"ENSBTAG00000021246" 695 919 813 733 842 765 769 775
"ENSBTAG00000021248" 256 294 383 210 410 271 181 325
"ENSBTAG00000021249" 30 48 50 11 44 39 43 41
"ENSBTAG00000021250" 940 969 1261 960 1492 721 686 868
"ENSBTAG00000021251" 289 304 224 175 375 329 109 178
"ENSBTAG00000021252" 595 743 455 570 624 373 457 374
"ENSBTAG00000021253" 82 111 106 62 154 101 59 131
"ENSBTAG00000021254" 431 489 523 494 643 538 495 416
"ENSBTAG00000021257" 0 0 1 1 0 1 0 1
"ENSBTAG00000021259" 106 167 121 113 209 103 83 156
"ENSBTAG00000021260" 1061 1354 1543 1242 1359 956 936 1015
"ENSBTAG00000021261" 10 7 7 1 5 3 4 2
"ENSBTAG00000021262" 1298 2109 1134 2109 1182 1351 879 753
"ENSBTAG00000021263" 1678 1835 3108 1418 2012 1762 2612 2185
"ENSBTAG00000021270" 1 4 3 3 1 1 0 1
"ENSBTAG00000021272" 3440 2231 1860 1398 3747 1732 1234 1702
"ENSBTAG00000021273" 416 472 433 106 428 220 549 244
"ENSBTAG00000021275" 1074 1601 1157 837 1112 1014 1133 801
"ENSBTAG00000021276" 623 1146 820 242 593 1104 418 622
"ENSBTAG00000021280" 0 0 1 2 2 2 6 6
"ENSBTAG00000021282" 977 1539 1134 1011 939 778 1135 964
"ENSBTAG00000021283" 16 18 9 23 10 13 11 5
"ENSBTAG00000021284" 55 93 50 88 147 65 23 74
"ENSBTAG00000021286" 356 533 237 285 523 215 213 373
"ENSBTAG00000021287" 318 207 121 306 411 116 76 137
"ENSBTAG00000021288" 1556 2129 1657 1751 1718 2056 1659 1246
"ENSBTAG00000021289" 1775 1571 2134 1260 2916 1372 1517 1979
"ENSBTAG00000021291" 267 240 214 270 391 163 193 239
"ENSBTAG00000021292" 71 82 72 62 174 62 117 146
"ENSBTAG00000021293" 638 733 806 545 710 473 554 494
"ENSBTAG00000021294" 392 615 599 271 592 524 591 396
"ENSBTAG00000021298" 0 0 0 0 0 0 0 0
"ENSBTAG00000021301" 1470 1311 1646 833 1786 1739 964 1168
"ENSBTAG00000021302" 19 15 56 10 80 31 10 32
"ENSBTAG00000021303" 153 166 219 107 146 168 145 117
"ENSBTAG00000021304" 2496 3012 2967 1899 3513 2420 2568 2597
"ENSBTAG00000021306" 249 401 71 319 0 0 1 1
"ENSBTAG00000021307" 4606 4538 5612 5282 4978 3289 3802 4760
"ENSBTAG00000021308" 630 616 598 400 1673 489 344 612
"ENSBTAG00000021310" 3742 4164 4519 311 1652 1916 5091 2810
"ENSBTAG00000021313" 563 871 663 412 986 514 603 651
