"RNAseq1" "RNAseq2" "RNAseq3" "RNAseq4" "RNAseq5" "RNAseq6" "RNAseq7" "RNAseq8"
"ENSBTAG00000000243" 934 970 1006 967 1511 997 943 1105
"ENSBTAG00000000244" 293 276 417 140 602 315 394 296
"ENSBTAG00000000245" 410 303 403 297 780 307 228 418
"ENSBTAG00000000246" 72 81 150 44 148 85 137 111
"ENSBTAG00000000250" 418 628 542 313 288 294 399 316
"ENSBTAG00000000251" 1820 2529 1938 1956 1412 1259 1200 1361
"ENSBTAG00000000252" 2153 2693 3295 2955 2873 2051 1862 1861
"ENSBTAG00000000253" 3974 3790 3542 2201 7136 3194 2014 3023
"ENSBTAG00000000256" 1695 1357 1689 1627 2027 1205 970 1206
"ENSBTAG00000000257" 157 160 23 201 5 4 13 3
"ENSBTAG00000000258" 4 16 13 1 19 3 12 14
"ENSBTAG00000000259" 0 2 2 0 0 0 0 4
"ENSBTAG00000000260" 793 725 1024 786 726 459 653 644
"ENSBTAG00000000261" 10 4 8 3 4 4 10 10
"ENSBTAG00000000264" 0 2 2 0 1 2 2 3
"ENSBTAG00000000265" 15 12 14 12 1 4 10 7
"ENSBTAG00000000266" 1196 1417 1499 1325 1781 1318 1273 1199
"ENSBTAG00000000267" 898 963 1104 767 1060 700 741 745
"ENSBTAG00000000269" 298 429 485 467 404 383 366 373
"ENSBTAG00000000271" 324 328 795 421 625 426 358 388
"ENSBTAG00000000273" 2 11 8 1 14 2 11 13
"ENSBTAG00000000274" 627 935 670 665 1212 701 634 591
"ENSBTAG00000000275" 778 757 835 756 1079 683 651 711
"ENSBTAG00000000277" 280 154 269 255 386 258 198 243
"ENSBTAG00000000278" 0 2 5 1 0 0 0 0
"ENSBTAG00000000279" 15 37 32 23 19 15 16 25
"ENSBTAG00000000280" 2 0 0 0 0 0 0 0
"ENSBTAG00000000281" 25 57 49 143 93 101 44 72
"ENSBTAG00000000283" 141 105 218 109 494 213 112 176
"ENSBTAG00000000284" 654 1453 2625 600 893 796 1494 1074
"ENSBTAG00000000285" 491 691 910 510 556 554 611 591
"ENSBTAG00000000286" 381 500 422 384 485 368 464 361
"ENSBTAG00000000287" 842 1229 1123 981 1158 1106 1028 967
"ENSBTAG00000000288" 2371 2407 2764 2496 2956 1626 2006 2110
"ENSBTAG00000000289" 450 611 525 581 533 454 503 405
"ENSBTAG00000000290" 2707 2931 2970 2842 4403 2392 2213 3230
"ENSBTAG00000000291" 1029 1078 1028 995 986 818 920 820
"ENSBTAG00000000292" 342 390 386 318 328 313 342 222
"ENSBTAG00000000295" 614 598 738 572 448 425 556 404
"ENSBTAG00000000296" 230 264 199 107 428 177 165 189
"ENSBTAG00000000297" 693 870 808 722 768 661 622 619
"ENSBTAG00000000300" 69 68 92 130 71 48 75 78
"ENSBTAG00000000301" 14 21 18 23 21 24 10 38
"ENSBTAG00000000305" 1363 1817 1723 2061 1664 1381 1689 1247
"ENSBTAG00000000306" 81 150 259 72 130 150 168 129
"ENSBTAG00000000308" 4842 4640 5124 4848 5181 3675 4521 3992
"ENSBTAG00000000309" 141 175 71 13 61 66 60 50
"ENSBTAG00000000310" 6118 4017 3071 6235 3818 5428 3243 8521
"ENSBTAG00000000312" 311 378 497 274 646 311 359 397
"ENSBTAG00000000313" 82 78 84 110 87 71 79 55
"ENSBTAG00000000315" 713 928 970 947 1017 933 887 812
"ENSBTAG00000000317" 70 83 67 50 95 71 60 81
"ENSBTAG00000000320" 770 751 875 629 1201 561 559 722
"ENSBTAG00000000321" 442 527 494 410 687 396 432 400
"ENSBTAG00000000322" 3172 2786 3569 4272 4743 2845 1830 3300
"ENSBTAG00000000326" 1 1 0 0 1 1 0 1
"ENSBTAG00000000328" 1 0 6 6 1 0 3 5
"ENSBTAG00000000329" 109 153 207 58 196 212 110 263
"ENSBTAG00000000330" 274 318 265 302 417 298 254 249
"ENSBTAG00000000332" 313 635 505 386 753 374 377 476
"ENSBTAG00000000333" 893 783 836 774 818 404 498 938
"ENSBTAG00000000335" 0 0 0 0 0 0 0 0
"ENSBTAG00000000336" 28 24 35 0 4 0 65 4
"ENSBTAG00000000340" 3234 2398 3173 2112 6715 2273 2132 3920
"ENSBTAG00000000341" 1460 1604 1428 1238 1910 1016 964 1516
"ENSBTAG00000000342" 874 1313 834 641 1548 839 611 835
"ENSBTAG00000000343" 339 748 397 417 437 530 321 281
"ENSBTAG00000000344" 0 0 0 0 0 0 0 0
"ENSBTAG00000000345" 19 20 33 22 24 22 23 22
"ENSBTAG00000000347" 147 146 142 111 471 142 90 191
"ENSBTAG00000000351" 0 0 0 0 0 0 0 0
"ENSBTAG00000000354" 6 2 4 2 5 2 0 3
"ENSBTAG00000000355" 90 98 113 63 104 72 74 66
"ENSBTAG00000000356" 140 207 178 206 223 212 198 140
"ENSBTAG00000000357" 132 148 147 122 387 138 105 101
"ENSBTAG00000000359" 519 537 585 427 1131 509 485 621
"ENSBTAG00000000360" 0 0 0 0 0 0 0 0
"ENSBTAG00000000362" 2226 1992 2470 1605 2496 1810 2120 2204
"ENSBTAG00000000363" 3778 3784 5232 3360 5690 3182 4026 4143
"ENSBTAG00000000365" 312 329 420 345 482 411 338 343
"ENSBTAG00000000368" 0 0 0 0 0 0 0 0
"ENSBTAG00000000369" 1455 2344 2367 628 3962 2019 2678 2589
"ENSBTAG00000000371" 2059 2124 2440 2220 2898 1808 1886 1950
"ENSBTAG00000000372" 445 649 769 518 762 538 454 523
"ENSBTAG00000000374" 0 0 0 1 0 0 0 0
