ID	ensembl_gene_id
A_73_P061432	ENSBTAG00000037570
A_73_P370331	ENSBTAG00000000520
A_73_P078001	ENSBTAG00000000520
A_73_P088691	ENSBTAG00000000521
A_73_P324191	ENSBTAG00000000521
A_73_105026	ENSBTAG00000000524
A_73_P339161	ENSBTAG00000000524
A_73_P406756	ENSBTAG00000000526
A_73_P123316	ENSBTAG00000000526
A_73_P056086	ENSBTAG00000000526
A_73_P047411	ENSBTAG00000000528
A_73_114018	ENSBTAG00000000529
A_73_P262816	ENSBTAG00000000532
A_73_P304086	ENSBTAG00000000532
A_73_113210	ENSBTAG00000000532
A_73_P093696	ENSBTAG00000000533
A_73_115977	ENSBTAG00000000531
A_73_115367	ENSBTAG00000000534
A_73_P085890	ENSBTAG00000000536
A_73_P409920	ENSBTAG00000000539
A_73_P279776	ENSBTAG00000000539
A_73_P068861	ENSBTAG00000000539
A_73_P367336	ENSBTAG00000000539
A_73_P378871	ENSBTAG00000000539
A_73_P065456	ENSBTAG00000000540
A_73_108301	ENSBTAG00000000540
A_73_P069341	ENSBTAG00000000541
A_73_109995	ENSBTAG00000000542
A_73_P114751	ENSBTAG00000000542
A_73_P082496	ENSBTAG00000000545
A_73_P353566	ENSBTAG00000000545
A_73_P472253	ENSBTAG00000000545
A_73_106773	ENSBTAG00000000548
A_73_P368141	ENSBTAG00000000550
A_73_119420	ENSBTAG00000000550
A_73_P321096	ENSBTAG00000000551
A_73_P046126	ENSBTAG00000000551
A_73_100224	ENSBTAG00000000552
A_73_116371	ENSBTAG00000000558
A_73_P333721	ENSBTAG00000000558
A_73_102887	ENSBTAG00000000555
A_73_P258336	ENSBTAG00000000559
A_73_104634	ENSBTAG00000000559
A_73_P445126	ENSBTAG00000000559
A_73_111373	ENSBTAG00000000562
A_73_P105431	ENSBTAG00000000562
A_73_P371096	ENSBTAG00000000562
A_73_P102011	ENSBTAG00000000561
A_73_P051086	ENSBTAG00000000561
A_73_P482083	ENSBTAG00000000561
A_73_P102901	ENSBTAG00000000563
A_73_119857	ENSBTAG00000000563
A_73_P033026	ENSBTAG00000000563
A_73_118512	ENSBTAG00000000564
A_73_P256826	ENSBTAG00000000564
A_73_P414661	ENSBTAG00000000565
A_73_P080056	ENSBTAG00000000565
A_73_P077831	ENSBTAG00000000567
A_73_106205	ENSBTAG00000000566
A_73_P057926	ENSBTAG00000000568
A_73_115064	ENSBTAG00000000569
A_73_114700	ENSBTAG00000000570
A_73_P059121	ENSBTAG00000000570
A_73_102361	ENSBTAG00000000573
A_73_107758	ENSBTAG00000000574
A_73_P041901	ENSBTAG00000000575
A_73_P347831	ENSBTAG00000000575
A_73_108252	ENSBTAG00000000575
A_73_P308266	ENSBTAG00000000575
A_73_P260451	ENSBTAG00000000578
A_73_121050	ENSBTAG00000000578
A_73_P078666	ENSBTAG00000000576
A_73_P358101	ENSBTAG00000000580
A_73_101807	ENSBTAG00000000580
A_73_P038461	ENSBTAG00000000582
A_73_P282791	ENSBTAG00000000582
A_73_104939	ENSBTAG00000000585
A_73_P113541	ENSBTAG00000000586
A_73_101863	ENSBTAG00000000593
A_73_111888	ENSBTAG00000000588
A_73_P311601	ENSBTAG00000000588
A_73_P070646	ENSBTAG00000033339
A_73_P439436	ENSBTAG00000033339
A_73_P050496	ENSBTAG00000000597
A_73_P045911	ENSBTAG00000000598
A_73_119926	ENSBTAG00000000598
A_73_101463	ENSBTAG00000000599
A_73_P254636	ENSBTAG00000000599
A_73_P436786	ENSBTAG00000000599
A_73_P253516	ENSBTAG00000000599
A_73_P456756	ENSBTAG00000000601
A_73_P046526	ENSBTAG00000000601
A_73_P051021	ENSBTAG00000000603
A_73_115967	ENSBTAG00000000604
A_73_P250771	ENSBTAG00000000604
A_73_105678	ENSBTAG00000000606
A_73_112712	ENSBTAG00000000607
A_73_P110496	ENSBTAG00000000608
A_73_P306226	ENSBTAG00000000608
A_73_105947	ENSBTAG00000000608
A_73_P352901	ENSBTAG00000000608
A_73_P400556	ENSBTAG00000000608
A_73_P058111	ENSBTAG00000000611
A_73_102010	ENSBTAG00000000613
A_73_P038911	ENSBTAG00000000616
A_73_P048956	ENSBTAG00000000622
A_73_P435731	ENSBTAG00000039967
A_73_P488913	ENSBTAG00000000620
A_73_112887	ENSBTAG00000000620
A_73_P248591	ENSBTAG00000000619
A_73_P254426	ENSBTAG00000000619
A_73_P265306	ENSBTAG00000000623
A_73_106323	ENSBTAG00000000623
A_73_P109906	ENSBTAG00000000623
A_73_P078956	ENSBTAG00000000625
A_73_111266	ENSBTAG00000000629
A_73_P304121	ENSBTAG00000000630
A_73_P033306	ENSBTAG00000000630
A_73_P442211	ENSBTAG00000000632
A_73_113742	ENSBTAG00000000632
A_73_107222	ENSBTAG00000000634
A_73_P317496	ENSBTAG00000000634
A_73_P033906	ENSBTAG00000000639
A_73_P119451	ENSBTAG00000000639
A_73_P037166	ENSBTAG00000000640
A_73_P065626	ENSBTAG00000000641
A_73_P059006	ENSBTAG00000000642
A_73_112394	ENSBTAG00000000644
A_73_112546	ENSBTAG00000000648
A_73_P101306	ENSBTAG00000000648
A_73_P056611	ENSBTAG00000000647
A_73_115937	ENSBTAG00000000646
A_73_P056606	ENSBTAG00000000650
A_73_P072616	ENSBTAG00000000658
A_73_P423216	ENSBTAG00000000658
A_73_P069351	ENSBTAG00000000655
A_73_107458	ENSBTAG00000000653
A_73_P251361	ENSBTAG00000000653
A_73_P223892	ENSBTAG00000000653
A_73_P320531	ENSBTAG00000000653
A_73_P303866	ENSBTAG00000000656
A_73_105515	ENSBTAG00000000656
A_73_P061861	ENSBTAG00000000602
A_73_P044981	ENSBTAG00000000602
A_73_P167442	ENSBTAG00000000654
A_73_105855	ENSBTAG00000000654
A_73_120276	ENSBTAG00000000654
A_73_120945	ENSBTAG00000000660
A_73_P448166	ENSBTAG00000000660
A_73_115085	ENSBTAG00000039718
A_73_118274	ENSBTAG00000026501
A_73_109175	ENSBTAG00000003272
A_73_P110466	ENSBTAG00000000662
A_73_100717	ENSBTAG00000000662
A_73_108878	ENSBTAG00000000664
A_73_P065866	ENSBTAG00000000665
A_73_P351141	ENSBTAG00000000666
A_73_119641	ENSBTAG00000000666
A_73_P050156	ENSBTAG00000000667
A_73_P297711	ENSBTAG00000000667
A_73_P452826	ENSBTAG00000000667
A_73_101383	ENSBTAG00000000670
A_73_P048026	ENSBTAG00000000675
A_73_117156	ENSBTAG00000000678
A_73_P265741	ENSBTAG00000000678
A_73_P359781	ENSBTAG00000000678
A_73_P260391	ENSBTAG00000000678
A_73_P293816	ENSBTAG00000000679
A_73_102426	ENSBTAG00000000679
A_73_P073961	ENSBTAG00000000683
A_73_P357266	ENSBTAG00000000684
A_73_P048341	ENSBTAG00000000684
A_73_P084646	ENSBTAG00000000682
A_73_P084641	ENSBTAG00000025443
A_73_P030631	ENSBTAG00000000686
A_73_P030881	ENSBTAG00000000687
A_73_P302166	ENSBTAG00000000687
A_73_P195587	ENSBTAG00000000687
A_73_P092451	ENSBTAG00000000690
A_73_P085676	ENSBTAG00000003144
A_73_P052026	ENSBTAG00000000694
A_73_P429861	ENSBTAG00000000696
A_73_P293156	ENSBTAG00000000696
A_73_P039576	ENSBTAG00000000696
A_73_P091336	ENSBTAG00000010763
A_73_118238	ENSBTAG00000010763
A_73_P364576	ENSBTAG00000000698
A_73_105087	ENSBTAG00000000698
A_73_P149311	ENSBTAG00000000698
A_73_P463606	ENSBTAG00000000698
A_73_P071116	ENSBTAG00000000698
A_73_P051946	ENSBTAG00000000700
A_73_P107831	ENSBTAG00000000703
A_73_P040506	ENSBTAG00000000703
A_73_P365226	ENSBTAG00000000704
A_73_107757	ENSBTAG00000000704
A_73_111089	ENSBTAG00000000705
A_73_P276681	ENSBTAG00000000705
A_73_P373286	ENSBTAG00000000706
A_73_P422711	ENSBTAG00000000706
A_73_106567	ENSBTAG00000000706
A_73_104091	ENSBTAG00000000707
A_73_P044251	ENSBTAG00000000711
A_73_P441966	ENSBTAG00000000717
A_73_112808	ENSBTAG00000000717
A_73_P283361	ENSBTAG00000000712
A_73_P037946	ENSBTAG00000000712
A_73_P058751	ENSBTAG00000000713
A_73_115414	ENSBTAG00000000718
A_73_P084581	ENSBTAG00000000718
A_73_113548	ENSBTAG00000000720
A_73_P033276	ENSBTAG00000000721
A_73_105658	ENSBTAG00000000725
A_73_P374081	ENSBTAG00000000725
A_73_P058866	ENSBTAG00000000725
A_73_109672	ENSBTAG00000054916
A_73_P076056	ENSBTAG00000000727
A_73_P058106	ENSBTAG00000000728
A_73_101555	ENSBTAG00000000730
A_73_103078	ENSBTAG00000000731
A_73_P040676	ENSBTAG00000000731
A_73_P087346	ENSBTAG00000024125
A_73_P037501	ENSBTAG00000000735
A_73_P208327	ENSBTAG00000000735
A_73_P214617	ENSBTAG00000000738
A_73_P086751	ENSBTAG00000000738
A_73_P299936	ENSBTAG00000000738
A_73_118161	ENSBTAG00000000743
A_73_P106246	ENSBTAG00000000742
A_73_P096961	ENSBTAG00000000742
A_73_P144951	ENSBTAG00000000744
A_73_110727	ENSBTAG00000000744
A_73_P096941	ENSBTAG00000000750
A_73_P380751	ENSBTAG00000000750
A_73_P387646	ENSBTAG00000000748
A_73_P047711	ENSBTAG00000000748
A_73_P227217	ENSBTAG00000000748
A_73_101654	ENSBTAG00000000745
A_73_P108296	ENSBTAG00000000745
